timestamp,steps
2015/10/25 17:00:00,35.6625
2015/10/25 17:15:00,31.5767
2015/10/25 17:30:00,30.0685
2015/10/25 17:45:00,30.0685
2015/10/25 18:00:00,30.0685
2015/10/25 18:15:00,62.3965
2015/10/25 18:30:00,30.0685
2015/10/25 18:45:00,76.0668
2015/10/25 19:00:00,47.7714
2015/10/25 19:15:00,31.2328
2015/10/25 19:30:00,59.1494
2015/10/25 19:45:00,44.2514
2015/10/25 20:00:00,59.1494
2015/10/25 20:15:00,93.3379
2015/10/25 20:30:00,59.1494
2015/10/25 20:45:00,64.8908
2015/10/25 21:00:00,59.1494
2015/10/25 21:15:00,41.8237
2015/10/25 21:30:00,20.3954
2015/10/25 21:45:00,8
2015/10/25 22:00:00,30.4501
2015/10/25 22:15:00,44.6183
2015/10/25 22:30:00,19.3513
2015/10/25 22:45:00,30.177
2015/10/25 23:00:00,6.6882
2015/10/25 23:15:00,30.2523
2015/10/25 23:30:00,6.82859
2015/10/25 23:45:00,30.2523
2015/10/26 0:00:00,33.5301
2015/10/26 0:15:00,30.2523
2015/10/26 0:30:00,74.7223
2015/10/26 0:45:00,30.2523
2015/10/26 1:00:00,74.7886
2015/10/26 1:15:00,94.9273
2015/10/26 1:30:00,77.8915
2015/10/26 1:45:00,104.257
2015/10/26 2:00:00,96.6365
2015/10/26 2:15:00,104.257
2015/10/26 2:30:00,57.4945
2015/10/26 2:45:00,30.3728
2015/10/26 3:00:00,13
2015/10/26 3:15:00,23.0048
2015/10/26 3:30:00,55.1747
2015/10/26 3:45:00,78.9607
2015/10/26 4:00:00,14.8204
2015/10/26 4:15:00,3.03933
2015/10/26 4:30:00,8.44469
2015/10/26 4:45:00,11.5553
2015/10/26 5:00:00,8.70623
2015/10/26 5:15:00,40.4298
2015/10/26 5:30:00,10
2015/10/26 5:45:00,52.8639
2015/10/26 6:00:00,26
2015/10/26 6:15:00,20
2015/10/26 6:30:00,24
2015/10/26 6:45:00,10
2015/10/26 7:00:00,15
2015/10/26 7:15:00,39
2015/10/26 7:30:00,18
2015/10/26 7:45:00,8
2015/10/26 8:00:00,5.568
2015/10/26 8:15:00,10.432
2015/10/26 8:30:00,5.16741
2015/10/26 8:45:00,29.6593
2015/10/26 9:00:00,27.1733
2015/10/26 9:15:00,6.51077
2015/10/26 9:30:00,30.4892
2015/10/26 9:45:00,21
2015/10/26 10:00:00,11
2015/10/26 10:15:00,10
2015/10/26 10:30:00,14
2015/10/26 10:45:00,9
2015/10/26 11:00:00,11
2015/10/26 11:15:00,55
2015/10/26 11:30:00,15
2015/10/26 11:45:00,31
2015/10/26 12:00:00,53.0
2015/10/26 12:15:00,22.0
2015/10/26 12:30:00,34.0
2015/10/26 12:45:00,17.0
2015/10/26 13:00:00,16.0
2015/10/26 13:15:00,8.0
2015/10/26 13:30:00,30.0
2015/10/26 13:45:00,32.0
2015/10/26 14:00:00,51.0
2015/10/26 14:15:00,61.0
2015/10/26 14:30:00,137.0
2015/10/26 14:45:00,48.0
2015/10/26 15:00:00,533.0
2015/10/26 15:15:00,548.0
2015/10/26 15:30:00,381.0
2015/10/26 15:45:00,95.0
2015/10/26 16:00:00,9.0
2015/10/26 16:15:00,241.0
2015/10/26 16:30:00,120.0
2015/10/26 16:45:00,88.0
2015/10/26 17:00:00,33.0
2015/10/26 17:15:00,280.0
2015/10/26 17:30:00,143.0
2015/10/26 17:45:00,276.0
2015/10/26 18:00:00,75.0
2015/10/26 18:15:00,8.0
2015/10/26 18:30:00,15.0
2015/10/26 18:45:00,38.0
2015/10/26 19:00:00,113.0
2015/10/26 19:15:00,99.0
2015/10/26 19:30:00,56.0
2015/10/26 19:45:00,60.0
2015/10/26 20:00:00,88.0
2015/10/26 20:15:00,86.0
2015/10/26 20:30:00,19.0
2015/10/26 20:45:00,9.0
2015/10/26 21:00:00,229.0
2015/10/26 21:15:00,118.0
2015/10/26 21:30:00,91.0
2015/10/26 21:45:00,153.0
2015/10/26 22:00:00,55.0
2015/10/26 22:15:00,64.0
2015/10/26 22:30:00,39.0
2015/10/26 22:45:00,98.0
2015/10/26 23:00:00,11.0
2015/10/26 23:15:00,326.0
2015/10/26 23:30:00,203.0
2015/10/26 23:45:00,221.0
2015/10/27 0:00:00,173.0
2015/10/27 0:15:00,79.0
2015/10/27 0:30:00,472.0
2015/10/27 0:45:00,273.0
2015/10/27 1:00:00,157.0
2015/10/27 1:15:00,55.0
2015/10/27 1:30:00,127.0
2015/10/27 1:45:00,182.0
2015/10/27 2:00:00,40.0
2015/10/27 2:15:00,286.0
2015/10/27 2:30:00,52.0
2015/10/27 2:45:00,61.0
2015/10/27 3:00:00,148.0
2015/10/27 3:15:00,113.0
2015/10/27 3:30:00,11.0
2015/10/27 3:45:00,12.0
2015/10/27 4:00:00,355.0
2015/10/27 4:15:00,11.0
2015/10/27 4:30:00,135.0
2015/10/27 4:45:00,37.0
2015/10/27 5:00:00,9.0
2015/10/27 5:15:00,19.0
2015/10/27 5:30:00,147.0
2015/10/27 5:45:00,62.0
2015/10/27 6:00:00,10.0
2015/10/27 6:15:00,136.0
2015/10/27 6:30:00,18.0
2015/10/27 6:45:00,150.0
2015/10/27 7:00:00,38.0
2015/10/27 7:15:00,88.0
2015/10/27 7:30:00,65.0
2015/10/27 7:45:00,101.0
2015/10/27 8:00:00,75.0
2015/10/27 8:15:00,20.0
2015/10/27 8:30:00,56.0
2015/10/27 8:45:00,243.0
2015/10/27 9:00:00,20.0
2015/10/27 9:15:00,62.0
2015/10/27 9:30:00,59.0
2015/10/27 9:45:00,117.0
2015/10/27 10:00:00,21.0
2015/10/27 10:15:00,113.0
2015/10/27 10:30:00,248.0
2015/10/27 10:45:00,19.0
2015/10/27 11:00:00,93.0
2015/10/27 11:15:00,24.0
2015/10/27 11:30:00,69.0
2015/10/27 11:45:00,42.0
2015/10/27 12:00:00,94.0
2015/10/27 12:15:00,10.0
2015/10/27 12:30:00,16.0
2015/10/27 12:45:00,23.0
2015/10/27 13:00:00,35.0
2015/10/27 13:15:00,68.0
2015/10/27 13:30:00,101.0
2015/10/27 13:45:00,246.0
2015/10/27 14:00:00,20.0
2015/10/27 14:15:00,269.0
2015/10/27 14:30:00,37.0
2015/10/27 14:45:00,49.0
2015/10/27 15:00:00,8.0
2015/10/27 15:15:00,203.0
2015/10/27 15:30:00,34.0
2015/10/27 15:45:00,97.0
2015/10/27 16:00:00,205.0
2015/10/27 16:15:00,134.0
2015/10/27 16:30:00,84.0
2015/10/27 16:45:00,60.0
2015/10/27 17:00:00,23.0
2015/10/27 17:15:00,141.0
2015/10/27 17:30:00,144.0
2015/10/27 17:45:00,67.0
2015/10/27 18:00:00,163.0
2015/10/27 18:15:00,20.0
2015/10/27 18:30:00,66.0
2015/10/27 18:45:00,42.0
2015/10/27 19:00:00,286.0
2015/10/27 19:15:00,122.0
2015/10/27 19:30:00,155.0
2015/10/27 19:45:00,153.0
2015/10/27 20:00:00,291.0
2015/10/27 20:15:00,10.0
2015/10/27 20:30:00,136.0
2015/10/27 20:45:00,144.0
2015/10/27 21:00:00,66.0
2015/10/27 21:15:00,8.0
2015/10/27 21:30:00,92.0
2015/10/27 21:45:00,367.0
2015/10/27 22:00:00,217.0
2015/10/27 22:15:00,106.0
2015/10/27 22:30:00,82.0
2015/10/27 22:45:00,78.0
2015/10/27 23:00:00,202.0
2015/10/27 23:15:00,251.0
2015/10/27 23:30:00,104.0
2015/10/27 23:45:00,32.0
2015/10/28 0:00:00,36.0
2015/10/28 0:15:00,95.0
2015/10/28 0:30:00,18.0
2015/10/28 0:45:00,315.0
2015/10/28 1:00:00,16.0
2015/10/28 1:15:00,161.0
2015/10/28 1:30:00,140.0
2015/10/28 1:45:00,324.0
2015/10/28 2:00:00,19.0
2015/10/28 2:15:00,36.0
2015/10/28 2:30:00,218.0
2015/10/28 2:45:00,617.0
2015/10/28 3:00:00,327.0
2015/10/28 3:15:00,164.0
2015/10/28 3:30:00,105.0
2015/10/28 3:45:00,18.0
2015/10/28 4:00:00,124.0
2015/10/28 4:15:00,88.0
2015/10/28 4:30:00,65.0
2015/10/28 4:45:00,58.0
2015/10/28 5:00:00,35.0
2015/10/28 5:15:00,195.0
2015/10/28 5:30:00,24.0
2015/10/28 5:45:00,21.0
2015/10/28 6:00:00,17.0
2015/10/28 6:15:00,32.0
2015/10/28 6:30:00,24.0
2015/10/28 6:45:00,74.0
2015/10/28 7:00:00,16.0
2015/10/28 7:15:00,2.0
2015/10/28 7:30:00,101.0
2015/10/28 7:45:00,10.0
2015/10/28 8:00:00,20.0
2015/10/28 8:15:00,11.0
2015/10/28 8:30:00,102.0
2015/10/28 8:45:00,94.0
2015/10/28 9:00:00,54.0
2015/10/28 9:15:00,202.0
2015/10/28 9:30:00,54.0
2015/10/28 9:45:00,42.0
2015/10/28 10:00:00,54.0
2015/10/28 10:15:00,10.0
2015/10/28 10:30:00,19.0
2015/10/28 10:45:00,52.0
2015/10/28 11:00:00,117.0
2015/10/28 11:15:00,20.0
2015/10/28 11:30:00,19.0
2015/10/28 11:45:00,12.0
2015/10/28 12:00:00,23.0
2015/10/28 12:15:00,51.0
2015/10/28 12:30:00,52.0
2015/10/28 12:45:00,20.0
2015/10/28 13:00:00,100.0
2015/10/28 13:15:00,8.0
2015/10/28 13:30:00,54.0
2015/10/28 13:45:00,11.0
2015/10/28 14:00:00,30.0
2015/10/28 14:15:00,43.0
2015/10/28 14:30:00,115.0
2015/10/28 14:45:00,266.0
2015/10/28 15:00:00,62.0
2015/10/28 15:15:00,6.0
2015/10/28 15:30:00,196.0
2015/10/28 15:45:00,57.0
2015/10/28 16:00:00,49.0
2015/10/28 16:15:00,108.0
2015/10/28 16:30:00,90.0
2015/10/28 16:45:00,89.0
2015/10/28 17:00:00,16.0
2015/10/28 17:15:00,50.0
2015/10/28 17:30:00,62.0
2015/10/28 17:45:00,64.0
2015/10/28 18:00:00,103.0
2015/10/28 18:15:00,103.0
2015/10/28 18:30:00,88.0
2015/10/28 18:45:00,107.0
2015/10/28 19:00:00,43.0
2015/10/28 19:15:00,110.0
2015/10/28 19:30:00,110.0
2015/10/28 19:45:00,20.0
2015/10/28 20:00:00,127.0
2015/10/28 20:15:00,104.0
2015/10/28 20:30:00,179.0
2015/10/28 20:45:00,351.0
2015/10/28 21:00:00,8.0
2015/10/28 21:15:00,287.0
2015/10/28 21:30:00,336.0
2015/10/28 21:45:00,202.0
2015/10/28 22:00:00,154.0
2015/10/28 22:15:00,293.0
2015/10/28 22:30:00,68.0
2015/10/28 22:45:00,123.0
2015/10/28 23:00:00,27.0
2015/10/28 23:15:00,39.0
2015/10/28 23:30:00,123.0
2015/10/28 23:45:00,72.0
2015/10/29 0:00:00,101.0
2015/10/29 0:15:00,65.0
2015/10/29 0:30:00,53.0
2015/10/29 0:45:00,8.0
2015/10/29 1:00:00,155.0
2015/10/29 1:15:00,330.0
2015/10/29 1:30:00,45.0
2015/10/29 1:45:00,45.0
2015/10/29 2:00:00,14.0
2015/10/29 2:15:00,8.0
2015/10/29 2:30:00,76.0
2015/10/29 2:45:00,81.0
2015/10/29 3:00:00,63.0
2015/10/29 3:15:00,110.0
2015/10/29 3:30:00,81.0
2015/10/29 3:45:00,13.0
2015/10/29 4:00:00,71.0
2015/10/29 4:15:00,22.0
2015/10/29 4:30:00,10.0
2015/10/29 4:45:00,10.0
2015/10/29 5:00:00,11.0
2015/10/29 5:15:00,65.0
2015/10/29 5:30:00,26.0
2015/10/29 5:45:00,82.0
2015/10/29 6:00:00,10.0
